time_ms,soil,light,temp_c
900692,1999,2754,21.00
1800732,2032,913,21.00
2700773,1982,1033,20.50
3600813,1968,1022,20.40
4500854,1955,950,20.40
5400894,1904,1004,20.50
6300935,1854,838,20.50
7201027,1902,1047,20.50
8101067,1748,929,20.50
9001108,1840,930,20.40
9901149,1822,958,20.50
10801189,1751,949,20.50
11701230,1727,1042,20.50
12601270,1713,975,20.40
13501368,1738,993,20.40
14401409,1697,794,20.40
15301450,1713,889,20.40
16201490,1681,945,20.40
17101531,1717,981,20.40
18001571,1815,1182,20.40
18901612,1805,835,20.30
19801705,1696,1021,20.30
20701746,1823,881,20.30
21601786,1795,962,20.30
22501827,1747,891,20.30
23401867,1599,848,20.30
24301908,1770,841,20.30
25201948,1779,906,20.20
26101989,1698,896,20.10
27002085,1771,1023,20.00
27902125,1722,944,19.90
28802166,1790,823,19.90
29702206,1604,931,19.80
30602246,1671,997,19.70
31502286,1771,832,19.60
32402327,1617,925,19.70
33302419,1665,1205,19.70
34202460,1571,1562,19.80
35102501,1738,2393,19.80
36002542,1749,2308,20.00
36902582,1738,2871,20.00
37802623,1667,2739,20.30
38702664,1632,2909,20.40
39602761,1646,3103,20.50
40502802,1690,3145,20.40
41402842,1693,3202,20.40
42302883,1855,3200,20.40
43202923,1789,3391,20.40
44102964,1613,3408,20.40
45003004,1695,3353,20.30
45903097,1714,3327,20.40
46803138,1767,3387,20.30
47703179,1809,3506,20.50
48603219,1717,3405,20.50
49503260,1728,3623,20.70
50403300,1792,3965,20.60
51303340,1693,3971,20.70
52203436,1841,4095,20.70
53103477,1788,3825,20.80
54003517,1794,4016,20.80
54903558,1709,4095,20.90
55803599,1669,4095,20.90
56703640,2096,4095,20.80
57603680,1858,3632,20.90
58503776,1983,3717,20.80
59403817,2044,3630,20.90
60303858,1670,3865,21.10
61203898,1929,3750,21.10
62103939,2000,3774,21.00
63003979,1834,3750,21.00
63904020,1893,3723,21.10
64804061,1744,3838,21.00
65704155,1685,3674,21.00
66604196,1885,3453,21.00
67504237,1936,3349,21.00
68404277,1781,2619,21.00
69304318,1978,2083,20.80
70204358,1744,1824,20.70
71104399,1760,1487,20.60
72004492,1824,1203,20.60
72904533,1968,990,20.60
73804574,1939,1051,20.60
74704615,1882,848,20.60
75604656,1939,1050,20.60
76504697,1728,835,20.50
77404738,1741,858,20.50
78304835,1895,1010,20.40
79204875,1809,1019,20.40
80104916,1757,919,20.40
81004956,1690,912,20.30
81904996,1818,813,20.30
82805037,1769,2992,20.20
83705078,1741,2839,20.70
84605171,1843,2835,20.80
85505212,1984,2823,20.70
86405252,2112,2643,20.60
87305293,2055,1073,20.70
88205333,2019,950,20.50
89105373,2156,930,20.40
90005413,2091,847,20.40
90905513,2096,954,20.40
91805554,2134,816,20.40
92705595,2224,1087,20.40
93605635,2323,875,20.40
94505675,2252,877,20.30
95405715,2211,1014,20.40
96305756,1837,944,20.40
97205849,1947,931,20.30
98105890,1965,883,20.30
99005930,1934,851,20.30
99905971,1947,1043,20.30
100806011,1972,970,20.30
101706052,1930,877,20.30
102606093,2288,853,20.30
103506189,1979,835,20.30
104406230,2033,1008,20.20
105306271,2290,1041,20.30
106206312,2035,894,20.20
107106353,2222,928,20.20
108006394,2011,1086,20.20
108906435,1890,833,20.20
109806476,1836,878,20.10
110706569,1887,924,20.10
111606610,1835,1023,20.10
112506651,1944,1037,20.10
113406692,1862,1038,20.10
114306733,1931,887,20.10
115206774,1985,961,20.10
116106815,2007,999,20.00
117006914,1931,995,20.00
117906955,1977,1097,20.10
118806996,2183,896,20.00
119707036,1994,1302,20.00
120607077,2007,1875,20.10
121507118,1909,2320,20.10
122407159,2055,2925,20.20
123307251,1988,2990,20.40
124207292,2007,3088,20.40
125107333,2043,3333,20.40
126007374,1975,3214,20.50
126907415,2029,3219,20.60
127807456,1905,3191,20.60
128707497,2046,3447,20.80
129607594,1886,3472,20.80
130507635,1946,3386,21.00
131407676,1862,3857,21.00
132307717,2249,3649,21.00
133207758,2256,3647,21.10
134107799,2142,3682,21.20
135007840,2027,3750,21.20
135907936,2055,3813,21.30
136807977,2142,3781,21.50
137708018,2102,4095,21.60
138608059,2141,3984,21.60
139508100,2075,4095,21.60
140408141,2094,4095,21.70
141308182,2203,4095,21.70
142208280,2047,3984,21.70
143108321,2064,3927,21.70
144008362,2133,3959,21.70
144908403,2089,3920,21.70
145808444,2127,4043,21.70
146708485,2076,4095,21.70
147608526,2058,3863,21.80
148508622,2125,3905,21.90
149408663,2145,4044,21.90
150308704,2121,3966,21.90
151208745,2129,3966,21.90
152108786,2132,4095,21.80
153008827,2080,3806,21.80
153908868,2110,3635,21.70
154808966,2001,2827,21.60
155709007,2079,2311,21.40
156609048,2129,2082,21.20
157509089,2151,1571,21.20
158409130,2103,1079,21.10
159309171,2143,863,21.00
160209212,2072,967,21.00
161109253,2158,983,21.00
162009349,2134,977,21.00
162909390,2126,878,21.00
163809431,2122,1071,21.00
164709472,2237,917,21.00
165609513,2155,1077,21.00
166509554,2219,961,21.00
167409595,2193,2711,21.00
168309693,2176,2672,21.00
169209734,2230,2586,21.00
170109775,2209,2585,21.00
171009816,2201,2619,21.00
171909857,2177,2657,21.00
172809898,2125,849,21.00
173709939,2258,1045,21.00
