time_ms,soil,light,temp_c
3636,1406,1770,21.2
240778,1470,960,21.2
1140872,1530,844,21.0
2041008,1525,959,21.0
2941831,1668,895,21.0
3841214,1641,789,21.0
4740702,1904,980,21.0
5640234,2057,842,21.0
6542968,1936,892,21.0
7441582,1991,903,21.0
8340344,2007,1084,21.0
9242247,1969,923,20.9
10141218,1987,818,20.9
11040304,1922,771,20.8
11942541,1883,946,20.8
12841727,1840,877,20.8
13740944,1855,814,20.8
14643047,1814,848,20.7
15542047,1712,781,20.7
16441655,1703,881,20.7
17342055,1776,976,20.7
18242229,1616,898,20.7
19142372,1767,964,20.7
20042525,1650,868,20.7
20942276,1712,771,20.7
21842058,1648,816,20.7
22742657,1637,1374,20.7
23640873,1586,2255,20.8
24542025,1600,3071,20.9
25440296,1633,3649,21.0
26341007,1613,4095,21.1
27241284,1666,4095,21.3
28142604,1685,4095,21.5
29041825,1662,4095,21.7
29940801,1609,4095,21.8
30843065,1629,4095,21.9
31741307,1578,4095,22.0
32642707,1574,4095,22.0
33542503,1526,4095,22.1
34442899,1621,4095,22.3
35340090,1615,4095,22.5
36242874,1621,4095,22.7
37141986,1597,4095,22.9
38042714,1555,4095,23.0
38941315,1574,4095,23.1
39842638,1535,4095,23.2
40740372,1607,4095,23.3
41640537,1579,4095,23.5
42540756,1600,4095,23.6
43440661,1602,4095,23.7
44340174,1493,4095,23.9
45241611,1518,4095,23.8
46140023,1570,4095,24.0
47041500,1523,4095,24.0
47942347,1535,4095,24.0
48842369,1573,4095,24.0
49740007,1574,4095,24.0
50640034,1602,4095,24.1
51542133,1595,4095,24.1
52442772,1488,4095,24.1
53342100,1616,4095,24.2
54240527,1501,4095,24.2
55143025,1591,4095,24.0
56040176,1455,4095,24.3
56941329,1479,2929,23.9
57841149,1573,3525,23.8
58741106,1564,3493,23.9
59642178,1615,2992,23.9
60542293,1483,2304,23.7
61442380,1441,1497,23.7
62342854,1528,1033,23.8
63240824,1630,833,23.7
64140824,1533,963,23.6
65040049,1580,798,23.7
65942752,1573,960,23.7
