time_ms,soil,light,temp_c
900685,1637,2901,21.00
1800725,1622,3253,21.00
2700765,1677,2890,20.70
3600805,1669,2589,20.50
4500845,1616,2640,20.70
5400885,1679,2693,20.70
6300925,1627,906,21.00
7201020,1567,1036,21.00
8101061,1628,854,21.00
9001101,1627,976,21.00
9901141,1682,898,21.00
10801181,1694,784,21.00
11701221,1653,878,21.00
12601261,1614,789,21.00
13501358,1706,823,21.00
14401398,1648,940,20.90
15301438,1664,867,20.90
16201479,1689,807,20.90
17101520,1697,1036,20.80
18001560,1646,1011,20.90
18901600,1648,1044,20.90
19801693,1658,834,20.80
20701733,1744,995,20.80
21601773,1721,1049,20.80
22501813,1685,956,20.80
23401853,1744,2795,20.70
24301893,1648,999,20.90
25201934,1690,899,20.90
26102029,1692,1035,20.90
27002069,1699,995,20.90
27902109,1678,954,20.80
28802149,1723,979,20.70
29702189,1727,876,20.70
30602229,1741,832,20.70
31502269,1717,979,20.70
32402310,1754,944,20.60
33302403,1671,816,20.60
34202443,1747,837,20.60
35102484,1683,854,20.60
36002525,1676,1035,20.60
36902565,1719,1005,20.60
37802605,1687,882,20.50
38702646,1746,913,20.50
39602740,1745,1022,20.50
40502780,1728,868,20.50
41402820,1766,1041,20.40
42302860,1710,806,20.50
43202900,1745,871,20.40
44102941,1790,1040,20.40
45002982,1715,898,20.40
45903075,1719,902,20.40
46803115,1712,815,20.30
47703155,1659,875,20.30
48603195,1902,848,20.30
49503235,2058,1114,20.30
50403275,1883,1488,20.30
51303315,1898,2397,20.30
52203410,1969,3729,20.40
53103451,1947,4095,20.70
54003492,1968,4095,20.70
54903532,1994,4095,20.70
55803572,1925,4095,20.80
56703612,1954,4095,20.80
57603652,1917,4095,20.90
58503747,1887,4095,21.00
59403787,1809,4095,21.00
60303827,1766,4095,21.00
61203867,1800,4095,21.00
62103908,1779,4095,21.00
63003949,1872,4095,21.10
63903989,1890,4095,21.10
64804082,1799,4095,21.10
65704122,1871,4095,21.10
66604162,1840,4095,21.20
67504202,1791,4095,21.40
68404242,1823,4095,21.40
69304282,1808,4095,21.50
70204322,1766,4095,21.50
71104363,1796,4095,21.50
72004457,1763,4095,21.70
72904497,1797,4095,21.70
73804537,1821,4095,21.60
74704577,1759,4095,21.60
75604617,1783,4095,21.70
76504657,1838,4095,21.70
77404698,1847,4095,21.80
78304793,1846,4095,21.80
79204833,1865,4095,21.70
80104874,1805,4095,21.70
81004915,1865,4095,21.80
81904956,1869,4095,21.70
82804996,1826,4095,21.80
83705037,1881,4095,21.20
84605133,1905,4095,21.40
85505174,1875,3942,21.10
86405214,1859,2979,21.00
87305255,1851,2366,21.00
88205295,1835,2041,20.90
89105336,1841,2655,21.00
