time_ms,soil,light,temp_c
900717,4095,1150,20.00
1800786,4095,1296,20.00
2700856,4095,925,20.00
3600926,4095,1134,20.00
4500997,4095,1085,20.00
5401067,4095,977,20.00
6301137,4095,1046,20.00
7201258,4095,1047,20.00
8101328,4095,980,20.00
9001398,4095,985,20.00
9901468,4095,894,20.00
10801538,4095,957,20.00
11701608,4095,976,20.00
12601678,4095,947,20.00
13501749,4095,868,20.00
14401874,4095,1190,20.00
15301944,4095,1072,20.00
16202014,4095,897,20.00
17102084,4095,981,20.00
18002154,4095,1047,20.00
18902224,4095,1033,20.00
19802295,4095,1099,19.90
20702416,4095,941,19.90
21602486,4095,1125,20.00
22502556,4095,846,19.90
23402627,4095,1067,19.90
24302697,4095,942,19.90
25202767,4095,1088,19.90
26102838,4095,933,19.90
27002964,4095,1011,19.90
27903033,4095,976,19.90
28803102,4095,2183,19.90
29703171,4095,4095,20.00
30603240,4095,4095,20.30
31503309,4095,4095,20.80
32403379,4095,4095,21.20
33303501,4095,4095,21.60
34203570,4095,4095,21.90
35103640,4095,4095,22.00
36003709,4095,4095,22.20
36903779,4095,4095,22.20
37803848,4095,4095,22.10
38703918,4095,4095,21.90
39604044,4095,4095,21.70
40504113,4095,4095,21.50
41404184,4095,4095,21.70
42304254,4095,4095,21.70
43204324,4095,4095,21.70
44104394,4095,4095,21.70
45004464,4095,4095,21.80
45904586,4095,4095,21.90
46804656,4095,4095,21.90
47704726,4095,4095,22.00
48604796,4095,4095,22.00
49504866,4095,4095,22.00
50404937,4095,4095,22.10
51305007,4095,4095,22.10
52205132,4095,4095,22.20
53105202,4095,4095,22.30
54005272,4095,4095,22.60
54905342,4095,4095,22.80
55805412,4095,4095,23.00
56705482,4095,4095,22.90
57605552,4095,4095,22.80
58505623,4095,4095,22.80
59405748,4095,4095,22.70
60305818,4095,4095,22.60
61205888,4095,4095,22.50
62105958,4095,4095,22.40
63006028,4095,4095,22.30
63906098,4095,4095,21.60
64806169,4095,4095,21.40
65706294,4095,4095,21.20
66606364,4095,2276,21.00
67506434,4095,1285,20.70
68406505,4095,1093,20.90
69306575,4095,945,20.70
70206645,4095,989,20.60
71106716,4095,1120,20.60
72006837,4095,947,20.60
72906907,4095,1093,20.50
73806977,4095,918,20.40
74707047,4095,1005,20.20
75607117,4095,1092,20.30
76507187,4095,870,20.20
77407258,4095,1101,20.10
78307382,4095,1380,20.00
79207451,4095,1108,20.00
80107520,4095,1179,20.10
81007589,4095,1117,20.50
81907658,4095,1337,20.90
82807727,4095,1253,21.00
83707796,4095,1226,21.00
84607920,4095,1274,21.00
85507989,4095,1003,21.00
86408060,4095,1040,21.00
87308130,4095,914,21.00
88208200,4095,993,21.00
89108270,4095,945,21.00
90008339,4095,907,21.00
90908461,4095,925,20.90
91808530,4095,1015,21.00
92708600,4095,942,20.90
93608670,4095,883,20.70
94508740,4095,1083,20.80
95408810,4095,1082,20.80
96308881,4095,1019,20.80
97209003,4095,962,21.00
98109072,4095,1039,20.90
99009142,4095,965,21.00
99909212,4095,1023,20.70
100809282,4095,886,20.90
101709352,4095,976,20.90
102609422,4095,1079,20.70
103509493,4095,958,20.70
104409618,4095,1061,20.70
105309689,4095,1150,20.60
106209759,4095,903,20.80
107109829,4095,893,20.70
108009899,4095,986,20.70
108909969,4095,1067,20.80
109810040,4095,1054,20.80
110710162,4095,942,20.70
111610232,4095,1012,20.30
112510302,4095,998,20.60
113410372,4095,1041,20.60
114310443,4095,1017,20.70
115210513,4095,1531,20.70
116110584,4095,2925,20.60
117010709,4095,4095,20.80
117910779,4095,4095,20.50
118810849,4095,4095,20.60
119710919,4095,4095,21.00
120610989,4095,4095,21.90
121511059,4095,4095,22.30
122411130,4095,4095,22.40
123311251,4095,4095,22.70
124211321,4095,4095,21.30
125111392,4095,4095,20.40
126011462,4095,4095,21.50
126911532,4095,4095,20.80
127811602,4095,4095,21.00
128711672,4095,4095,21.80
129611798,4095,4095,21.70
130511868,4095,4095,21.90
131411940,4095,4095,21.90
132312010,4095,4095,22.10
133212080,4095,4095,22.20
134112150,4095,4095,22.60
135012221,4095,4095,23.00
135912343,4095,4095,23.00
136812412,4095,4095,22.70
137712482,4095,4095,22.50
138612552,4095,4095,22.70
139512622,4095,4095,22.60
140412693,4095,4095,22.60
141312763,4095,4095,22.40
142212888,4095,4095,22.30
143112957,4095,4095,22.80
144013027,4095,4095,23.00
144913097,4095,4095,23.00
145813167,4095,4095,22.80
146713237,4095,4095,22.70
147613307,4095,4095,23.30
148513378,4095,4095,23.30
149413500,4095,4095,23.00
150313570,4095,4095,23.00
151213640,4095,4095,22.40
152113710,4095,3267,22.10
153013780,4095,1962,22.00
153913850,4095,1054,21.90
154813921,4095,1125,21.80
155714047,4095,1139,21.50
156614117,4095,1237,22.00
157514188,4095,1142,21.80
158414258,4095,978,21.30
159314328,4095,1234,21.60
160214398,4095,994,21.20
